game,seed,player,profile,score,animals,animal_ids,area_bonus,width,height,density
1,20260710,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
1,20260710,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,4,1.0
2,20260711,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,6,0.6667
2,20260711,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
3,20260712,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,4,6,0.6667
3,20260712,Spelare B,balanced,27,5,"baver,fiskgjuse,lo,radjur,trana",1,6,3,0.8889
4,20260713,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
4,20260713,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
5,20260714,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,3,8,0.6667
5,20260714,Spelare B,balanced,28,5,"baver,fiskgjuse,lo,radjur,trana",2,4,6,0.6667
6,20260715,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
6,20260715,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
7,20260716,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,3,6,0.8889
7,20260716,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
8,20260717,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,3,6,0.8889
8,20260717,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,4,1.0
9,20260718,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,4,1.0
9,20260718,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,4,6,0.6667
10,20260719,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
10,20260719,Spelare B,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,3,6,0.8889
11,20260720,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,6,4,0.6667
11,20260720,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
12,20260721,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
12,20260721,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,5,4,0.8
13,20260722,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,3,6,0.8889
13,20260722,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,5,4,0.8
14,20260723,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,6,0.6667
14,20260723,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
15,20260724,Spelare A,balanced,27,5,"baver,fiskgjuse,lo,radjur,trana",1,6,3,0.8889
15,20260724,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
16,20260725,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
16,20260725,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
17,20260726,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
17,20260726,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
18,20260727,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
18,20260727,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,6,0.6667
19,20260728,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
19,20260728,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
20,20260729,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,6,0.6667
20,20260729,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
21,20260730,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,7,0.7619
21,20260730,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
22,20260731,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
22,20260731,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
23,20260732,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,5,6,0.5333
23,20260732,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
24,20260733,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
24,20260733,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,4,0.6667
25,20260734,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
25,20260734,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
26,20260735,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
26,20260735,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,6,0.6667
27,20260736,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
27,20260736,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
28,20260737,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,6,0.6667
28,20260737,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
29,20260738,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,4,4,1.0
29,20260738,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,6,3,0.8889
30,20260739,Spelare A,balanced,24,5,"baver,fiskgjuse,groda,radjur,trana",1,6,3,0.8889
30,20260739,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
31,20260740,Spelare A,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
31,20260740,Spelare B,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,6,3,0.8889
32,20260741,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,7,4,0.5714
32,20260741,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
33,20260742,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
33,20260742,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,5,4,0.8
34,20260743,Spelare A,balanced,28,6,"baver,fiskgjuse,groda,lo,radjur,trana",0,3,6,0.8889
34,20260743,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,3,6,0.8889
35,20260744,Spelare A,balanced,30,6,"baver,fiskgjuse,groda,lo,radjur,trana",2,4,6,0.6667
35,20260744,Spelare B,balanced,29,6,"baver,fiskgjuse,groda,lo,radjur,trana",1,4,5,0.8
